Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,Global Insight Country Risk Ratings
Algeria,DZA,MENA,35,106,2.590262,7,30.75197,39.24803,34.50329
Brazil,BRA,AME,35,106,4.060288,8,28.34113,41.65887,34.50329
Cote d'Ivoire,CIV,SSA,35,106,2.488668,9,30.91858,39.08141,46.73721
Egypt,EGY,MENA,35,106,4.863433,7,27.02397,42.97603,34.50329
North Macedonia,MKD,ECA,35,106,3.56274,7,29.15711,40.8429,34.50329
p,MNG,AP,35,106,1.887561,9,31.9044,38.0956,46.73721
El Salvador,SLV,AME,34,113,2.563654,7,29.79561,38.20439,34.50329
Kazakhstan,KAZ,ECA,34,113,4.176606,9,27.15037,40.84963,34.50329
Nepal,NPL,AP,34,113,1.759387,6,31.1146,36.8854,34.50329
Philippines,PHL,AP,34,113,1.585877,9,31.39916,36.60084,34.50329
Eswatini,SWZ,SSA,34,113,6.075864,4,24.03558,43.96442,34.50329
Zambia,ZMB,SSA,34,113,1.973667,9,30.76319,37.23681,34.50329
Sierra Leone,SLE,SSA,33,119,3.465013,8,27.31738,38.68262,46.73721
Moldova,MDA,ECA,32,120,2.395228,9,28.07183,35.92817,46.73721
Niger,NER,SSA,32,120,1.715677,7,29.18629,34.81371,34.50329
Pakistan,PAK,AP,32,120,2.461317,8,27.96344,36.03656,34.50329
Bolivia,BOL,AME,31,123,2.996561,7,26.08564,35.91436,34.50329
Gabon,GAB,SSA,31,123,2.407603,6,27.05153,34.94847,34.50329
Malawi,MWI,SSA,31,123,1.779217,9,28.08208,33.91792,34.50329
Azerbaijan,AZE,ECA,30,126,7.161777,7,18.25468,41.74532,34.50329
Djibouti,DJI,SSA,30,126,4.276603,5,22.98637,37.01363,46.73721
Kyrgyzstan,KGZ,ECA,30,126,2.540632,7,25.83336,34.16664,34.50329
Ukraine,UKR,ECA,30,126,2.380559,9,26.09588,33.90412,22.45197
Guinea,GIN,SSA,29,130,2.499444,8,24.90091,33.09909,34.50329
Laos,LAO,AP,29,130,4.995874,5,20.80677,37.19323,34.50329
Maldives,MDV,AP,29,130,2.569968,3,24.78525,33.21475,34.50329
Mali,MLI,SSA,29,130,2.620483,8,24.70241,33.29759,34.50329
Mexico,MEX,AME,29,130,1.725735,9,26.16979,31.83021,22.45197
Myanmar,MMR,AP,29,130,4.212792,7,22.09102,35.90898,22.45197
Togo,TGO,SSA,29,130,2.4049,7,25.05597,32.94403,34.50329
Dominican Republic,DOM,AME,28,137,2.699341,7,23.57308,32.42692,22.45197
Kenya,KEN,SSA,28,137,2.167752,9,24.44489,31.55511,34.50329
Lebanon,LBN,MENA,28,137,2.271487,7,24.27476,31.72524,22.45197
Liberia,LBR,SSA,28,137,2.667331,7,23.62558,32.37442,22.45197
Mauritania,MRT,SSA,28,137,2.729102,6,23.52427,32.47573,34.50329
Papua New Guinea,PNG,AP,28,137,2.379799,6,24.09713,31.90287,22.45197
Paraguay,PRY,AME,28,137,2.835402,6,23.34994,32.65006,22.45197
Russia,RUS,ECA,28,137,2.476439,9,23.93864,32.06136,22.45197
Uganda,UGA,SSA,28,137,2.035011,9,24.66258,31.33742,22.45197
Angola,AGO,SSA,26,146,1.821627,7,23.01253,28.98747,22.45197
Bangladesh,BGD,AP,26,146,2.617282,8,21.70766,30.29234,22.45197
Guatemala,GTM,AME,26,146,2.231707,7,22.34,29.66,22.45197
Honduras,HND,AME,26,146,3.254164,7,20.66317,31.33683,22.45197
Iran,IRN,MENA,26,146,3.626302,7,20.05286,31.94714,34.50329
Mozambique,MOZ,SSA,26,146,2.977371,9,21.11711,30.88289,34.50329
Nigeria,NGA,SSA,26,146,1.868129,8,22.93627,29.06373,22.45197
Cameroon,CMR,SSA,25,153,2.424488,9,21.02384,28.97616,34.50329
Central African Republic,CAF,SSA,25,153,1.428002,5,22.65808,27.34192,22.45197
Comoros,COM,SSA,25,153,8.904729,4,10.39625,39.60376,46.73721
Tajikistan,TJK,ECA,25,153,6.659976,6,14.07764,35.92236,22.45197
Uzbekistan,UZB,ECA,25,153,2.01073,7,21.7024,28.2976,22.45197
Madagascar,MDG,SSA,24,158,2.475335,8,19.94045,28.05955,34.50329
Zimbabwe,ZWE,SSA,24,158,2.307745,9,20.2153,27.7847,22.45197
Eritrea,ERI,SSA,23,160,6.657395,5,12.08187,33.91813,34.50329
Nicaragua,NIC,AME,22,161,1.162477,7,20.09354,23.90646,22.45197
Cambodia,KHM,AP,20,162,3.409514,8,14.4084,25.5916,22.45197
Chad,TCD,SSA,20,162,2.451336,6,15.97981,24.02019,22.45197
Iraq,IRQ,MENA,20,162,2.980012,5,15.11278,24.88722,10.21805
Burundi,BDI,SSA,19,165,4.894006,6,10.97383,27.02617,22.45197
Congo,COG,SSA,19,165,1.031566,6,17.30823,20.69177,22.45197
Turkmenistan,TKM,ECA,19,165,1.417115,5,16.67593,21.32407,22.45197
Democratic Republic of the Congo,COD,SSA,18,168,1.426883,9,15.65991,20.34009,22.45197
Guinea Bissau,GNB,SSA,18,168,2.909114,6,13.22905,22.77095,22.45197
Haiti,HTI,AME,18,168,3.234971,6,12.69465,23.30535,22.45197
Libya,LBY,MENA,18,168,2.241052,5,14.32467,21.67533,10.21805
"Korea, North",PRK,AP,17,172,3.159824,4,11.81789,22.18211,10.21805
Afghanistan,AFG,AP,16,173,2.554536,5,11.81056,20.18944,10.21805
Equatorial Guinea,GNQ,SSA,16,173,2.997751,4,11.08369,20.91631,22.45197
Sudan,SDN,SSA,16,173,2.743431,7,11.50077,20.49923,22.45197
Venezuela,VEN,AME,16,173,2.048858,8,12.63987,19.36013,10.21805
Yemen,YEM,MENA,15,177,1.885994,7,11.90697,18.09303,10.21805
Syria,SYR,MENA,13,178,1.921515,5,9.848716,16.15128,10.21805
South Sudan,SSD,SSA,12,179,1.263942,5,9.927135,14.07286,10.21805
Somalia,SOM,SSA,9,180,1.740826,5,6.145045,11.85496,10.21805
